1221111,8,1,2006,3,18,18,2602,8005,0,5,6,6,2
1106636,5,28,2004,6,16,0,2659,2279,100,3,6,5,2
1159674,6,18,2005,7,6,194,2302,2604,0,9,6,3,2
1227402,9,15,2006,6,18,0,2626,2724,0,9,6,1,2
42804,4,12,2001,5,14,92,601,1201,0,9,6,6,4
1177236,10,9,2005,1,10,18,101,2612,0,5,6,1,4
1118250,8,3,2004,3,16,0,245,220,180,1,6,1,4
1118137,8,7,2004,7,11,0,2626,1031,4,7,6,5,4
241270,7,14,1997,2,18,247,948,1687,0,9,6,1,4
949234,1,14,2003,3,15,18,1001,8005,0,9,6,1,4
1166513,9,7,2005,4,7,18,906,1001,0,9,6,6,4
190305,5,25,1998,2,9,18,101,2612,0,9,6,6,4
241495,7,31,1997,5,18,18,432,2321,0,9,6,6,4
242080,9,12,1997,6,15,18,401,610,200,5,6,1,4
45938,10,23,2001,3,6,0,2129,5185,1,3,6,"-",4
961861,4,8,2003,3,21,0,332,1405,7,7,6,6,4
1196570,5,5,2006,6,13,18,101,1001,0,5,6,5,4
42592,3,31,2001,7,13,92,5185,2609,200,1,6,6,4
46388,11,21,2001,4,18,0,5143,466,200,1,6,6,4
140485,9,15,1999,4,7,0,2901,2279,10,7,6,5,4
44149,7,4,2001,4,13,0,5138,2325,25,8,6,"-",4
241463,7,29,1997,3,16,41,201,5520,"    ",9,6,6,4
44787,8,2,2001,5,16,92,5017,202,150,1,6,1,4
1135826,12,17,2004,6,19,18,1005,2303,"    ",9,6,1,4
138423,4,14,1999,4,16,0,211,1422,10,0,6,6,4
1066887,2,26,2002,3,17,18,101,1502,0,9,6,6,4
192423,9,14,1998,2,19,92,1404,7039,0,9,6,6,4
89614,4,2,2000,1,18,18,521,2113,0,9,6,6,4
1108625,4,10,2004,7,17,0,810,5170,0,9,6,6,4
191941,8,13,1998,5,8,211,2303,2302,"    ",0,6,6,4
241308,7,17,1997,5,16,18,2303,9221,"    ",9,6,6,4
960203,4,1,2003,3,8,18,1415,5173,0,3,6,1,4
1203673,6,19,2006,2,6,18,1525,2126,0,4,6,1,4
1075281,8,28,2003,5,7,92,710,112,300,8,6,6,4
1211575,9,26,2006,3,17,68,2301,1504,"    ",7,6,6,4
190505,6,3,1998,4,17,18,1525,2303,700,1,6,6,4
90326,5,2,2000,3,14,18,2603,5158,0,9,6,6,4
190466,6,3,1998,4,21,0,1592,1585,13,7,6,6,4
1186938,1,29,2006,1,7,0,5170,810,4,5,6,6,4
1084101,10,23,2003,5,7,68,201,2503,0,1,6,1,4
191674,7,31,1998,6,11,18,202,802,0,9,6,6,4
91450,7,23,2000,1,13,18,1009,5160,20,7,6,1,4
1203667,6,19,2006,2,17,92,2314,5185,0,9,6,6,4
137952,4,16,1999,6,15,0,829,5175,"    ",3,6,6,4
93032,11,5,2000,1,16,92,2602,5002,100,3,6,6,4
189977,5,8,1998,6,17,68,6020,1001,100,3,6,6,4
1136227,12,6,2004,2,9,92,2602,5012,0,9,6,6,4
1136216,12,4,2004,7,18,92,2609,5185,0,9,6,6,4
88859,2,24,2000,5,8,92,204,5053,0,9,6,1,4
191918,8,12,1998,4,20,0,1031,2626,0,3,6,6,4
1167990,9,26,2005,2,16,0,5175,241,4,5,6,3,4
90656,5,27,2000,7,13,0,6159,2171,10,5,6,1,4
1181718,11,18,2005,6,15,92,714,5185,0,9,6,6,4
1178347,10,22,2005,7,12,0,1803,5170,0,9,6,6,4
1162928,8,4,2005,5,13,18,347,432,"    ",9,6,6,4
952094,1,29,2003,4,17,92,405,5025,150,5,6,6,4
43963,6,25,2001,2,15,211,2220,2401,0,9,6,6,4
1113838,5,27,2004,5,16,0,1212,5204,0,9,6,7,4
44951,8,11,2001,7,15,0,1419,2217,0,9,6,6,4
192046,8,19,1998,4,15,215,1003,2322,0,9,6,1,4
240601,5,31,1997,7,16,18,101,1401,175,7,6,1,4
44343,7,11,2001,4,7,0,212,6177,0,9,6,6,4
191279,7,13,1998,2,18,18,206,907,0,9,6,1,4
1150908,5,15,2005,1,17,0,1585,2121,0,9,6,1,4
1203557,7,18,2006,3,17,211,606,5108,0,9,6,6,4
958715,3,4,2003,3,13,211,2210,7114,100,5,6,6,4
1204250,6,9,2006,6,15,0,1094,1405,0,7,6,1,4
46116,11,1,2001,5,6,0,2217,5088,0,9,6,6,4
1177924,10,15,2005,7,13,18,101,1401,300,7,6,6,4
192249,9,2,1998,4,18,0,211,1422,0,2,6,5,4
1109285,4,27,2004,3,17,92,1507,2301,"    ",9,6,1,4
92047,8,28,2000,2,17,0,1592,1585,6,7,6,6,4
92866,10,26,2000,5,16,215,101,2302,50,7,6,6,4
92758,10,24,2000,3,17,0,466,1585,2,7,6,6,4
91804,8,11,2000,6,14,215,201,1301,"    ",9,6,6,4
140692,9,24,1999,6,16,0,1541,2602,0,9,6,6,4
1100455,2,5,2004,5,8,0,1463,1485,0,8,6,1,4
1131831,11,10,2004,4,18,0,241,5184,0,9,6,6,4
1167012,9,20,2005,3,16,0,2219,466,25,5,6,6,4
190617,6,6,1998,7,17,0,2139,5185,0,9,6,6,4
189603,4,20,1998,2,21,0,906,5083,1,3,6,2,4
1090968,12,1,2003,2,19,18,425,1001,"    ",9,6,1,4
44257,7,10,2001,3,16,92,2602,5002,0,9,6,1,4
1073001,8,10,2003,1,17,194,2202,1404,1320,1,6,6,4
1151425,5,23,2005,2,7,194,2601,8003,0,1,6,2,4
1196898,5,2,2006,3,10,194,405,2202,0,3,6,6,4
139049,6,14,1999,2,14,0,1214,1558,4,3,6,"-",4
1166600,9,14,2005,4,16,211,906,415,50,6,6,1,4
1203996,6,14,2006,4,12,194,601,1501,0,9,6,6,4
955075,2,14,2003,6,19,18,101,1401,10,5,6,6,4
1198232,5,17,2006,4,8,0,676,2626,0,9,6,6,4
954083,1,30,2003,5,14,92,2602,5002,200,3,6,6,4
242455,10,3,1997,6,9,0,1585,284,25,1,6,6,4
88409,1,29,2000,7,15,0,2003,5205,25,7,6,6,4
140031,8,13,1999,6,17,211,807,1901,"    ",9,6,6,4
140573,9,7,1999,3,15,18,206,9202,"    ",7,6,6,4
1069373,9,12,2002,5,14,194,2202,901,50,4,6,1,4
140529,9,18,1999,7,12,247,1687,5069,0,9,6,6,4
1219633,11,6,2006,2,15,92,417,2301,"    ",9,6,6,4
1194722,4,27,2006,5,18,211,1901,1501,"    ",2,6,1,4
45774,10,12,2001,6,16,211,905,2602,0,9,6,1,4
1164237,8,16,2005,3,14,211,1302,5124,"    ",3,6,1,4
44449,7,17,2001,3,16,41,410,5509,0,9,6,1,4
1085458,10,25,2003,7,16,0,1443,5088,0,9,6,1,4
